Wall time,Step,Value
1699304233.808408,0,1.7927237749099731
1699305469.4958296,1,1.7900290489196777
1699306706.0482671,2,1.7883907556533813
1699307940.421833,3,1.7870088815689087
1699309177.9293382,4,1.7854857444763184
1699310412.148344,5,1.7839345932006836
1699311647.840777,6,1.782202124595642
1699312885.336855,7,1.7803599834442139
1699314119.415458,8,1.7783666849136353
1699315351.7743473,9,1.7760324478149414
1699316584.0704749,10,1.7736436128616333
1699317817.5374532,11,1.770931601524353
1699319052.2255986,12,1.7679786682128906
1699320286.6721487,13,1.764579176902771
1699321521.6270409,14,1.7607409954071045
1699322755.7817333,15,1.7562944889068604
1699323990.6697981,16,1.7514921426773071
1699325224.7733335,17,1.746224284172058
1699326460.7081313,18,1.7401721477508545
1699327695.586475,19,1.7337548732757568
1699328929.926238,20,1.7270910739898682
1699330164.7809222,21,1.7197270393371582
1699331398.7579293,22,1.711944341659546
1699332632.164101,23,1.7042542695999146
1699333869.6918375,24,1.6960057020187378
1699335105.4497268,25,1.6878353357315063
1699336339.634652,26,1.679754376411438
1699337575.4830198,27,1.6711069345474243
1699338809.0607905,28,1.6629796028137207
1699340040.2721815,29,1.654267430305481
1699341273.8448281,30,1.6455432176589966
1699342506.7028787,31,1.6371444463729858
1699343740.762063,32,1.627463936805725
1699344974.106355,33,1.6186296939849854
1699346207.9783916,34,1.608691930770874
1699347440.557032,35,1.599677562713623
1699348673.2903314,36,1.5898709297180176
1699349909.4424016,37,1.5798441171646118
1699351143.390751,38,1.570152997970581
1699352375.2008061,39,1.558618426322937
1699353608.2336607,40,1.5483163595199585
1699354840.7277052,41,1.5390279293060303
1699356074.3579292,42,1.5282963514328003
1699357308.3236666,43,1.5185821056365967
1699358540.552738,44,1.5094199180603027
1699359772.706195,45,1.498690128326416
1699361004.6912768,46,1.489502191543579
1699362239.6709619,47,1.4796233177185059
1699363475.2908304,48,1.4724571704864502
1699364710.0913877,49,1.464034080505371
1699365945.460686,50,1.4550106525421143
1699367180.0282218,51,1.4475524425506592
1699368416.3161983,52,1.4415451288223267
1699369650.616652,53,1.4310111999511719
1699370886.9341571,54,1.4279714822769165
1699372120.0731359,55,1.4195340871810913
1699373353.843419,56,1.4104762077331543
1699374586.896132,57,1.4040062427520752
1699375820.851049,58,1.3983888626098633
1699377055.6776724,59,1.3915289640426636
1699378290.524792,60,1.3852641582489014
1699379526.502827,61,1.3810259103775024
1699380761.563614,62,1.3735419511795044
1699381995.2558522,63,1.36681067943573
1699383228.3981583,64,1.3604828119277954
1699384462.1730115,65,1.3557573556900024
1699385696.1992106,66,1.3518579006195068
1699386929.7588444,67,1.3461917638778687
1699388161.3414104,68,1.3376065492630005
1699389392.7534573,69,1.333155632019043
1699390624.4846041,70,1.3274171352386475
1699391857.5963042,71,1.3201661109924316
1699393090.5350118,72,1.317473292350769
1699394324.2253082,73,1.3133981227874756
1699395556.7703726,74,1.3075789213180542
1699396789.7205684,75,1.3018436431884766
1699398020.9502022,76,1.2962466478347778
1699399252.5966525,77,1.291988730430603
1699400484.8733704,78,1.2882416248321533
1699401717.8641531,79,1.2810777425765991
1699402948.5453756,80,1.2757915258407593
1699404180.934592,81,1.270873785018921
1699405414.3298328,82,1.2644771337509155
1699406647.6008413,83,1.2607653141021729
1699407881.0744429,84,1.2562345266342163
1699409113.2797341,85,1.25154709815979
1699410345.1680286,86,1.250454068183899
1699411579.311962,87,1.239901065826416
1699412812.243869,88,1.2451475858688354
1699414044.9934711,89,1.2360063791275024
1699415276.6308603,90,1.2309669256210327
1699416510.2941697,91,1.2254538536071777
1699417742.9904616,92,1.2231749296188354
1699418974.1923153,93,1.2188533544540405
1699420208.579901,94,1.2190797328948975
1699421439.855005,95,1.2099164724349976
1699422671.5647106,96,1.2038077116012573
1699423904.5057325,97,1.2019641399383545
1699425135.0939827,98,1.1968179941177368
1699426371.9119916,99,1.1916649341583252
1699427604.2650595,100,1.1872329711914062
1699428837.5484202,101,1.183316707611084
1699430069.2548332,102,1.1765234470367432
1699431301.7416754,103,1.1737245321273804
1699432533.5406966,104,1.1711064577102661
1699433767.052007,105,1.1759898662567139
1699434999.3360648,106,1.1636883020401
1699436231.4054947,107,1.1608301401138306
1699437464.115053,108,1.1590319871902466
1699438696.246419,109,1.152547836303711
1699439928.2930465,110,1.1472078561782837
1699441163.7956672,111,1.145716667175293
1699442395.7635365,112,1.138972520828247
1699443628.8653848,113,1.137087106704712
1699444862.0341914,114,1.1323988437652588
1699446095.1339192,115,1.131434440612793
1699447327.5142365,116,1.1274605989456177
1699448560.310665,117,1.1237354278564453
1699449793.7860093,118,1.1170413494110107
1699451024.1345942,119,1.118937611579895
1699452255.8343027,120,1.1130640506744385
1699453489.1962707,121,1.1048957109451294
1699454722.817887,122,1.1055792570114136
1699455955.8524945,123,1.10215163230896
1699457192.4972382,124,1.0964477062225342
1699458428.163136,125,1.0938160419464111
1699459661.4880238,126,1.0915385484695435
1699460895.1922085,127,1.0886887311935425
1699462128.7971444,128,1.0839678049087524
1699463362.3533196,129,1.0812692642211914
1699464595.0206554,130,1.0740422010421753
1699465830.4975684,131,1.0775660276412964
1699467062.6971493,132,1.071426272392273
1699468297.0546124,133,1.0655500888824463
1699469528.3450997,134,1.0621806383132935
1699470759.479344,135,1.0575724840164185
1699471991.4840274,136,1.0541762113571167
1699473225.679194,137,1.0508724451065063
1699474457.7938278,138,1.0490185022354126
1699475691.6316357,139,1.0445903539657593
1699476922.307053,140,1.040140151977539
1699478157.2860622,141,1.0390254259109497
1699479394.1426673,142,1.0344672203063965
1699480631.1653771,143,1.031710147857666
1699481864.6008625,144,1.0319042205810547
1699483101.0194354,145,1.0195095539093018
1699484333.3090045,146,1.0216609239578247
1699485566.901204,147,1.0193263292312622
1699486801.8212306,148,1.01238214969635
1699488035.789981,149,1.007596492767334
1699489272.9325469,150,1.0024462938308716
1699490506.23901,151,1.0000742673873901
1699491741.0706334,152,0.9965729117393494
1699492975.945845,153,0.9962158799171448
1699494210.0361638,154,0.9903059005737305
1699495446.9018323,155,0.9872435331344604
1699496682.7608888,156,0.984606921672821
1699497926.4350438,157,0.979533851146698
1699499164.1575692,158,0.9797540307044983
1699500399.8254323,159,0.9744352698326111
1699501632.3846974,160,0.9682216644287109
1699502869.5431564,161,0.9641291499137878
1699504102.2505596,162,0.9623333811759949
1699505336.1302214,163,0.9567710161209106
1699506572.31304,164,0.9550826549530029
1699507807.760626,165,0.9484314322471619
1699509043.4365497,166,0.9474952816963196
1699510278.9831088,167,0.940809428691864
1699511517.038813,168,0.9414094090461731
1699512750.8632214,169,0.9382501244544983
1699513984.4653604,170,0.9389990568161011
1699515217.7202952,171,0.9292778968811035
1699516451.0651116,172,0.9227715730667114
1699517685.0647216,173,0.916046679019928
1699518918.5662682,174,0.9156067371368408
1699520152.4329093,175,0.9140437841415405
1699521384.7897465,176,0.912233829498291
1699522618.026904,177,0.9047329425811768
1699523852.7398744,178,0.904477059841156
1699525086.7499728,179,0.9021968841552734
1699526319.879195,180,0.8961260914802551
1699527554.0422652,181,0.8891487121582031
1699528790.745113,182,0.8891295194625854
1699530027.1102893,183,0.8782447576522827
1699531263.0312083,184,0.8905680775642395
1699532500.536483,185,0.879944384098053
1699533735.0107884,186,0.8812931180000305
1699534970.7263825,187,0.8778107762336731
1699536203.821943,188,0.8725283145904541
1699537437.9079454,189,0.8631698489189148
1699538671.6213553,190,0.856373131275177
1699539905.917099,191,0.8580931425094604
1699541138.096889,192,0.8480724692344666
1699542371.245552,193,0.8419544100761414
1699543605.7100751,194,0.8400760889053345
1699544839.5636208,195,0.8390586972236633
1699546074.3246984,196,0.8427072763442993
1699547308.245416,197,0.8413777947425842
1699548541.3868372,198,0.8247323036193848
1699549775.7589126,199,0.8263638019561768
