Wall time,Step,Value
1701527942.5931585,0,1.7935547828674316
1701529176.9967341,1,1.786539912223816
1701530412.7597415,2,1.7807124853134155
1701531648.90336,3,1.7746597528457642
1701532885.3338256,4,1.7675611972808838
1701534119.690509,5,1.7589095830917358
1701535353.3812091,6,1.7485450506210327
1701536588.6674376,7,1.7367750406265259
1701537822.876537,8,1.7231760025024414
1701539057.5929055,9,1.707756519317627
1701540290.3791583,10,1.6893759965896606
1701541525.4046428,11,1.6683244705200195
1701542760.5580847,12,1.6438575983047485
1701543995.727946,13,1.6160396337509155
1701545231.0972214,14,1.5849945545196533
1701546466.91755,15,1.551268458366394
1701547701.9761288,16,1.5159186124801636
1701548935.2495449,17,1.4822876453399658
1701550171.2049863,18,1.4482792615890503
1701551409.0702744,19,1.4178988933563232
1701552636.5364323,20,1.3885668516159058
1701553863.1355488,21,1.3640005588531494
1701555092.8193011,22,1.3418045043945312
1701556320.3570669,23,1.3227750062942505
1701557548.4942756,24,1.3045697212219238
1701558775.1287093,25,1.2880585193634033
1701560003.4040663,26,1.2748923301696777
1701561230.4909427,27,1.2630008459091187
1701562457.6965733,28,1.2505995035171509
1701563684.4060047,29,1.2401975393295288
1701564911.3307116,30,1.2287272214889526
1701566138.2071917,31,1.2197303771972656
1701567364.3073604,32,1.210802674293518
1701568590.7375824,33,1.2040033340454102
1701569819.5163925,34,1.1951372623443604
1701571044.7529695,35,1.1890262365341187
1701572271.3391633,36,1.181473731994629
1701573501.8767042,37,1.1755460500717163
1701574731.1997461,38,1.1687285900115967
1701575959.3543584,39,1.1620550155639648
1701577185.8330715,40,1.1571770906448364
1701578413.0903354,41,1.1513535976409912
1701579641.2137513,42,1.1462925672531128
1701580868.936716,43,1.141193151473999
1701582096.208714,44,1.1355994939804077
1701583324.120467,45,1.1311588287353516
1701584559.9064975,46,1.1276081800460815
1701585789.8371804,47,1.122421383857727
1701587016.424322,48,1.1192435026168823
1701588243.6627414,49,1.1144059896469116
1701589471.7320545,50,1.110091209411621
1701590699.6129713,51,1.106813669204712
1701591926.9489746,52,1.1041313409805298
1701593154.3678417,53,1.0987275838851929
1701594379.8451416,54,1.0953946113586426
1701595610.1721108,55,1.091991662979126
1701596838.6802971,56,1.0879263877868652
1701598067.7438226,57,1.0850378274917603
1701599293.4387443,58,1.082395315170288
1701600518.3219624,59,1.0775399208068848
1701601743.6854234,60,1.0758018493652344
1701602972.1195443,61,1.0724111795425415
1701604196.994754,62,1.068893313407898
1701605425.2228782,63,1.0656626224517822
1701606652.8767383,64,1.062593698501587
1701607880.236456,65,1.0608437061309814
1701609109.2752373,66,1.057265281677246
1701610337.0593495,67,1.0540826320648193
1701611566.0198302,68,1.05298912525177
1701612799.3221436,69,1.0493435859680176
1701614027.6253538,70,1.046759009361267
1701615257.4938915,71,1.04481041431427
1701616485.717471,72,1.0415208339691162
1701617713.5538433,73,1.0392390489578247
1701618939.4457357,74,1.0362043380737305
1701620168.5899775,75,1.0340678691864014
1701621395.6808524,76,1.0313867330551147
1701622622.5740297,77,1.0297077894210815
1701623849.2904243,78,1.0282198190689087
1701625074.7365062,79,1.0262023210525513
1701626301.9233904,80,1.0235791206359863
1701627526.9909275,81,1.0208572149276733
1701628754.9905581,82,1.0188428163528442
1701629981.4954553,83,1.0185338258743286
1701631207.3664494,84,1.0151513814926147
1701632432.1632173,85,1.0130983591079712
1701633659.9976065,86,1.0130220651626587
1701634889.161982,87,1.0081963539123535
1701636116.0735114,88,1.0072733163833618
1701637343.367372,89,1.0068846940994263
1701638572.5880945,90,1.0044753551483154
1701639799.8967786,91,1.001901388168335
1701641030.0874913,92,1.0008351802825928
1701642258.7040732,93,0.9981133341789246
1701643487.1341763,94,0.9953630566596985
1701644714.0212364,95,0.9942127466201782
1701645941.4560843,96,0.9932017922401428
1701647168.1708102,97,0.9900992512702942
1701648394.2543669,98,0.9899986982345581
1701649621.060836,99,0.9887977838516235
1701650848.8314817,100,0.986457884311676
1701652078.0728807,101,0.9843084812164307
1701653305.3772023,102,0.983819305896759
1701654533.6766806,103,0.9821382164955139
1701655763.7027512,104,0.9797772169113159
1701656990.279658,105,0.9795123338699341
1701658217.961489,106,0.9774512052536011
1701659444.9621623,107,0.9750270843505859
1701660671.1405354,108,0.9747936725616455
1701661898.4034958,109,0.973553478717804
1701663125.6366727,110,0.9714367389678955
1701664354.1684031,111,0.9721064567565918
1701665581.3869936,112,0.9705232977867126
1701666808.9517424,113,0.9673628211021423
1701668037.1236637,114,0.9660909175872803
1701669264.5157204,115,0.9664275646209717
1701670493.844068,116,0.9659411907196045
1701671723.8784292,117,0.9625970125198364
1701672953.1018808,118,0.961939811706543
1701674180.7075343,119,0.9616070985794067
1701675410.9763947,120,0.9592134952545166
1701676641.5625186,121,0.9589646458625793
1701677872.6974292,122,0.9570902585983276
1701679101.7524369,123,0.9565148949623108
1701680330.5341856,124,0.9550368785858154
1701681558.6082263,125,0.9549108743667603
1701682786.8008132,126,0.9539527297019958
1701684012.8580573,127,0.9512852430343628
1701685240.5572855,128,0.9500591158866882
1701686467.7631068,129,0.950187623500824
1701687695.0643804,130,0.9499481320381165
1701688923.3122346,131,0.9480739235877991
1701690150.809997,132,0.947248101234436
1701691379.1007724,133,0.9465677738189697
1701692607.5570245,134,0.945925772190094
1701693836.3585222,135,0.9427414536476135
1701695063.9153643,136,0.9441689252853394
1701696291.0293977,137,0.9422343969345093
1701697515.967986,138,0.940995991230011
1701698742.3464158,139,0.9409619569778442
1701699970.4921117,140,0.9397042989730835
1701701198.8575344,141,0.9380984902381897
1701702427.7621975,142,0.9364809393882751
1701703657.9217882,143,0.9366993308067322
1701704888.7031105,144,0.9348393678665161
1701706115.3902993,145,0.9358432292938232
1701707343.7977834,146,0.9347575902938843
1701708574.2614415,147,0.9328083992004395
1701709800.854042,148,0.9317105412483215
1701711028.8299453,149,0.9323680400848389
1701712260.7590373,150,0.9301949739456177
1701713491.4291072,151,0.9299908876419067
1701714718.1946056,152,0.9290080666542053
1701715945.671016,153,0.9273302555084229
1701717174.0264847,154,0.928552508354187
1701718402.8639996,155,0.9253227114677429
1701719628.6381235,156,0.9259525537490845
1701720854.141651,157,0.9248867034912109
1701722081.8022375,158,0.9236829280853271
1701723309.5937254,159,0.9214318990707397
1701724534.668017,160,0.9229353070259094
1701725760.0460505,161,0.9227368831634521
1701726989.5914366,162,0.9206090569496155
1701728220.0165894,163,0.9196375608444214
1701729445.2617297,164,0.919991135597229
1701730672.7210727,165,0.9188365936279297
1701731899.6009443,166,0.9174184799194336
1701733126.822312,167,0.9183449745178223
1701734369.4542508,168,0.9169058203697205
1701735613.3359268,169,0.9160453677177429
1701736842.6360338,170,0.9163800477981567
1701738067.7015295,171,0.9126784205436707
1701739294.5313752,172,0.9139403700828552
1701740520.2590845,173,0.9124318957328796
1701741745.1770167,174,0.9117087125778198
1701742972.293742,175,0.9128273725509644
1701744203.256731,176,0.9101727604866028
1701745429.012467,177,0.9097007513046265
1701746654.1109433,178,0.9096094965934753
1701747879.4258943,179,0.9077349305152893
1701749105.057884,180,0.9079685807228088
1701750331.3472023,181,0.9078670740127563
1701751559.7608786,182,0.9063655734062195
1701752787.1857502,183,0.9069963097572327
1701754017.1021192,184,0.9042343497276306
1701755246.835773,185,0.9046083092689514
1701756476.2403047,186,0.9047421813011169
1701757707.012997,187,0.9041895270347595
1701758937.339524,188,0.9023838043212891
1701760167.1548266,189,0.9025638103485107
1701761394.124852,190,0.9020370244979858
1701762622.6969213,191,0.9008811116218567
1701763850.729071,192,0.9004266858100891
1701765078.3460877,193,0.8993116617202759
1701766304.9641418,194,0.8984688520431519
1701767532.9601068,195,0.8966226577758789
1701768761.5200274,196,0.8984926342964172
1701769992.1591153,197,0.8976374864578247
1701771221.1697621,198,0.8961143493652344
1701772448.540623,199,0.8959334492683411
